城邦名,UA描述,征服胜利,文化胜利,科技胜利,外交胜利,总分数
马尼拉,盟友：盟友的国际商路金钱收益 +25%；盟友每有一条国际商路，所有国际商路金钱收益额外+2%；盟友每有一种提供快乐的奢侈品，全国食物+2%。朋友：朋友的国际商路金钱收益 +10%,4,5,5,6,20
摩加迪沙,盟友：盟友每有一条通往城邦的国际商路，全国金钱 +5%；盟友的的城市如果有发出国际商路，该城市20%的金钱将转化为文化。朋友：朋友每有一条通往城邦的国际商路，全国金钱 +2%,5,5,5,5,20
蒙巴萨,盟友：盟友同时发出陆路与海路国际商路的城市，金钱、文化、食物+15%；盟友每座沿海城市提高全国1%食物和产能。朋友：朋友同时发出陆路与海路国际商路的城市，金钱、文化、食物+6%,4,6,6,4,20
霍尔木兹,盟友：盟友城市每处有人工作的海关将提高城市20%金钱产出；额外为盟友提供20单位石油；盟友的每单位富余石油提高4%国际商路金钱。朋友：朋友城市每处有人工作的海关将提高城市8%金钱产出,7,3,3,7,20
巴拿马,盟友：盟友发出的国际商路起点和终点城市每间隔1格，该商路金钱收益+1%；盟友每有一条跨大陆国际商路，来自人口的不满降低3%(上限-90%)。朋友：盟友发出的国际商路起点和终点城市每间隔2格，该商路金钱收益+1%,2,8,2,8,20
魁北克,盟友：计算其他文明对盟友的文化胜利进度时，盟友的累积文化值额外+50%；每有一个文明对盟友的影响程度为默默无闻，盟友全国产能和食物+4%；盟友购买城墙、军营、城堡、军械所、兵工厂、军事基地时，全部陆军+10经验。朋友：计算其他文明对朋友的文化胜利进度时，朋友的累积文化值额外+20%,8,10,0,2,20
拉古萨,盟友：盟友的蓄水池、引水渠、自来水系统、医院、污水处理厂、医学实验室+8%食物；盟友的这些建筑额外+2本地快乐；盟友城市每点本地快乐+1%本地文化加成。朋友：朋友的蓄水池、引水渠、自来水系统、医院、污水处理厂、医学实验室+3%食物,2,8,8,2,20
里加,盟友：盟友沿河城市+15%金钱和食物；盟友沿河且沿海城市额外+15%金钱、食物、文化、产能。朋友：朋友沿河城市+6%金钱和食物,5,5,5,5,20
悉尼,盟友：盟友每接受过一个国际移民，全国+4%文化；盟友每次接收国际移民，首都获得1人口（需要首都卫生设施齐全）；盟友的歌剧院、悉尼歌剧院提高城市33%魅力。朋友：朋友每接受过一个国际移民，全国+2%文化,0,12,6,2,20
乌尔,盟友：盟友每拥有一个世界奇观，+2全局快乐；盟友每拥有一件杰作或文物，全国+1%文化；盟友的国家奇观将提高城市5%科研与产能。朋友：朋友每拥有一个世界奇观，+1全局快乐,3,7,7,3,20
温哥华,盟友：盟友每座沿海城市+3全局快乐；盟友每有1点快乐，全国食物+1%，全国魅力+1%（上限均为50%）。朋友：朋友每座沿海城市+1全局快乐,4,8,6,2,20
惠灵顿,盟友：盟友首都获得20%产能和食物加成（对宫殿加成）；盟友一级城市获得10%产能与食物加成；盟友城市每个有人工作的牧场提高该城市3%食物产出。朋友：朋友首都获得8%产能和食物加成（对宫殿加成）,7,3,7,3,20
塔那那利佛,盟友：盟友每有1条陆地商路，陆地商路的金钱收益+10%；盟友每有10座城市，外交威望+1；盟友城市每处有市民工作的矿井为城市+3%金钱。朋友：盟友每有1条陆地商路，陆地商路的金钱收益+5%,5,3,2,10,20
安特卫普,盟友：盟友的城市+1大商业家点数，盟友城市的市场、银行、证券交易所、金融中心各提供1大商业家点数；盟友每诞生过1位大商业家，商业家+2金钱，成为城邦盟友的所需最低影响力降低1%(至多-90%)。朋友：朋友城市的市场和银行+1大商业家点数,3,2,7,8,20
卡霍基亚,盟友：盟友城市每处有市民工作的农田为城市+3%食物；盟友每个达到中型规模的城市+20%金钱；盟友每个达到大型规模的城市+20%文化。朋友：朋友城市每处有市民工作的农田为城市+1%食物,5,0,10,5,20
科伦坡,盟友：通往科伦坡的每条商路+15回合金(随时代提升)；盟友的城市有连接科伦坡的商路时，该城市20%的信仰将转化为科研，15%的信仰将转化为魅力。朋友：通往科伦坡的每条商路+6回合金(随时代提升),5,5,5,5,20
迪拜,盟友：每向迪拜捐赠过1000现金，全局快乐+1，此来源的每点快乐提供全局奇观建造速率+1%，此来源的每点快乐提高自身5%对其他意识形态的舆论压力。朋友：每向迪拜捐赠过2000现金，全局快乐+1,2,8,2,8,20
热那亚,盟友：盟友的银行、证券交易所、金融中心额外为该城市提供 +20% 金钱；盟友的每条海上商路，提高1%捐献金钱获得的影响力；盟友每拥有一个朋友城邦（包含盟友），全国+1%科研。朋友：朋友的银行、证券交易所、金融中心额外为该城市提供 +8% 金钱,2,2,8,8,20
马六甲,盟友：奢侈品数量提供的快乐+100%，盟友每拥有一种提供快乐的奢侈品，城市获得1%余粮加成，奢侈品种类带来的商路金加成+3%。朋友：奢侈品数量提供的快乐+40%，朋友每有2种提供快乐的奢侈品，城市获得1%余粮加成,6,2,6,6,20
墨尔本,盟友：盟友拥有黄金资源的城市+50%金钱与魅力；盟友的马戏场、赛马场、动物园、游乐场、主题公园、体育场、野生动物园、珠宝市场、电子娱乐公司为城市提供10%产能和金钱加成。朋友：朋友拥有黄金资源的城市+20%金钱与魅力,0,10,8,2,20
撒马尔罕,盟友：盟友城市每处有市民工作的贸易站为城市+5%金钱；盟友城市每处有市民工作的贸易站为城市+3%科研；盟友的天文台使城市+50%科研。朋友：朋友城市每处有市民工作的贸易站为城市+2%金钱,5,0,10,5,20
新加坡,盟友：盟友每座大型城市提高全国10%金钱与科研；盟友的一级腐败城市不再增加科研阈值；盟友每座特大城市提高全国20%产能。朋友：盟友每座大型城市提高全国4%金钱与科研,8,0,10,2,20
推罗,盟友：盟友的码头、船坞提高全国10%产能；盟友的沿海城市受到伤害降低40%；盟友每拥有一座与原始首都不同大陆的城市，全国+5%金钱。朋友：朋友的码头、船坞提高全国4%产能,8,0,4,8,20
维尔纽斯,盟友：盟友每拥有一个已解锁的社会政策，全国金钱 +2%；盟友每拥有一个已解锁的社会政策，全国科研 +1%；盟友每拥有1人口，开启黄金时代的阈值-1。朋友：朋友每拥有一个已解锁的社会政策，全国金钱 +1%,2,2,8,8,20
桑给巴尔,盟友：盟友城市每处有市民工作的种植园为城市 +5% 金钱；盟友城市每处有市民工作的种植园为城市 +5% 文化；盟友城市每处有市民工作的种植园为城市+2本地快乐。朋友：朋友城市每处有市民工作的种植园为城市 +2% 金钱,4,6,4,6,20
苏黎世,盟友：盟友的城市+1大科学家点数，盟友城市的学院、大学、公立学校、研究实验室各提供1大科学家点数；盟友每诞生过3个大科学家，科学家+1科研；盟友每诞生过2个大工程师，工程师+1产能。朋友：朋友城市的学院、大学+1大科学家点数,3,0,15,2,20
日内瓦,盟友：盟友为领袖的宗教获得「世界认可」，每有2个主要文明的主流宗教为该宗教，盟友获得1额外外交威望；每有3座城市信仰该宗教，盟友每回合对所有见面城邦+1影响力；盟友每次诞生大先知，获得等同于其对日内瓦影响力x2的金钱。朋友：朋友每次诞生大先知，获得等同于其对日内瓦影响力的金钱,1,2,2,15,20
伊费,盟友：盟友信仰购买大美术家、大文学家、大音乐家需要的信仰降低30%（最终价格修正）；盟友每拥有一个杰作或文物，全国信仰 +2%；盟友在黄金时代内全国额外+25%信仰。朋友：朋友信仰购买大美术家、大文学家、大音乐家需要的信仰降低10%（最终价格修正）,2,14,2,2,20
耶路撒冷,盟友：盟友每掌控一座圣城，其为领袖的宗教+40%宗教压力；每有一座城市信仰该宗教，盟友首都+1%科研；其他文明无法谴责盟友。朋友：每掌控一座圣城，其为领袖的宗教+20%宗教压力,8,3,6,3,20
加德满都,盟友：盟友的宗教建筑（佛塔、大教堂、清真寺、佛塔、裁判所）为城市提供 +10% 金钱；盟友捐献给加德满都的金钱将视为“香火钱”，每回合首次捐献返还捐献金额50%的信仰；盟友解锁特殊建筑建造权：珠穆朗玛营地（只能在邻近山脉的城市建造，城市+50%金钱与魅力）。朋友：朋友的宗教建筑（佛塔、大教堂、清真寺、佛塔、裁判所）使城市+4%金钱,0,10,3,7,20
拉本塔,盟友：盟友每拥有一个杰作或者文物，所有伟人点数积累速度+4%；盟友可以在拉本塔处使用信仰购买神系信条加入其领导的宗教（初始500，每次购买翻倍）；盟友每次购买信条后，对所有见面城邦提高其富余快乐*0.5的影响力。朋友：朋友每拥有一个杰作或者文物，所有伟人点数积累速度+2%,6,6,2,6,20
甘托克,盟友：每有1座城市信仰盟友为领袖的宗教，盟友+1全局快乐；盟友每回合可使用信仰购买一次任意城邦影响力，价格为金钱的1/4；盟友城市每个有市民工作的宗教圣地+10%信仰。朋友：每有2座城市信仰朋友为领袖的宗教，朋友+1全局快乐,2,8,2,8,20
梵蒂冈,盟友：盟友为领袖的宗教获得「教廷承认」，有半数以上城市信奉该宗教的文明可额外获得1张代表票；该宗教传播速度加快50%，每个信教城市提高其圣城+1%魅力。朋友：朋友为领袖的宗教传播速度加快20%,2,6,0,12,20
维滕贝格,盟友：每有一座城市信仰盟友为领袖的宗教，盟友首都+1%信仰；盟友可以在维滕贝格花费高额信仰购买一个自选任意信条添加到该宗教（只能使用一次）；该宗教受到裁判官和大先知清理时，会保留40%信众。朋友：每有2座城市信仰盟友为领袖的宗教，朋友首都+1%信仰,5,5,5,5,20
阿拉木图,盟友：盟友的骑射单位获得其击杀数x盟友多余马匹数量x20%的额外最大血量；盟友的单位可以掠夺中立国家的商路，并获得200金钱（随时代提升）和15经验（会触发外交红脸）；额外为盟友提供15马匹。朋友：朋友的骑射单位获得其击杀数x盟友多余马匹数量x8%的额外血量,10,2,4,4,20
贝尔格莱德,盟友：盟友驻守在城市的陆军远程单位+3射程且获得间接火力；盟友单位为城市提供的城防+100%；盟友的城市建造的单位获得额外30经验（购买无效）。朋友：盟友驻守城市的陆军远程单位+1射程且获得间接火力,12,2,2,4,20
布达佩斯,盟友：盟友每有一个轻重骑兵，单位维护费-4，至多降低为0；盟友的城市拥有马戏场时，城市腐败点数降低200；盟友的陆军免疫渡河作战惩罚。朋友：朋友每有一个轻重骑兵，单位维护费-2，至多降低为0,12,2,2,4,20
河内,盟友：敌人在盟友境内时固定免伤和固定造成伤害失效；盟友每完成过一次战争和谈，全国文化产出+5%；盟友每被宣战过一次，全国境内敌军降低10%战斗力。朋友：敌人在朋友境内时固定免伤和固定造成伤害只能生效50%,14,4,0,2,20
姆班扎刚果,盟友：盟友每有一座城市，全国军事单位组建速度+10%；盟友每座城市额外提供4人力；盟友在对抗科技数量更多的文明时每个科技数量差距+10%战斗力。朋友：朋友每有一座城市，全国军事单位组建速度+4%,15,3,0,2,20
西顿,盟友：盟友的海军进攻城市时无视城市50%来自建筑的城防；盟友所有单位获得10%最大血量的境外回血量；盟友攻破城市后提高其所有见面城邦影响力，数值为盟友对西顿影响力的5%。朋友：朋友的海军进攻城市时无视城市20%来自建筑的城防,12,0,0,8,20
索非亚,盟友：盟友的丘陵城市受到伤害降低50%；盟友的单位在丘陵地块移动力翻倍；盟友的丘陵城市射程+1。朋友：朋友的丘陵城市受到伤害降低20%,9,3,3,5,20
瓦莱塔,盟友：当盟友的敌人城市一环存在不少于3个盟友的军事单位后，该城市无法回复血量；盟友在购买信条建筑后全国单位+5经验；盟友诞生陆军统帅时，获得等同于其对瓦莱塔影响力100%的信仰。朋友：当朋友的敌人城市一环存在不少于6个朋友的军事单位后，该城市无法回复血量,16,2,0,2,20
